model,forecast_date,target,target_week_end,national_raw_error,national_log_difference,national_percentage_error,national_bre,cc_national_score,cc_national_rank,cc_national_rank_percentile,state_point_forecasts_num,state_log_difference_squared,state_pearson_fit_statistic,state_mean_absolute_error,state_geo_mean_log_difference,state_median_log_difference,state_bre,state_bre_signed,state_pred_25,state_missed_by_2x,state_rmse,state_mape,state_smape,cc_state_point_score,cc_state_point_rank,cc_state_point_rank_percentile,state_range_forecasts_num,state_range_capture_rate_95pi,state_range_capture_rate_50pi,state_range_10th_percentile_width,state_range_25th_percentile_width,state_range_50th_percentile_width,state_range_average_width,state_range_75th_percentile_width,state_range_90th_percentile_width,state_ranges_gt_4x,state_ranges_gt_10x,state_ranges_95PI_score,state_ranges_interval_normalized,state_ranges_precision_raw,state_ranges_precision_95pi_adjusted,cc_state_range_score,cc_state_range_rank,cc_state_range_rank_percentile,cc_state_range_score_v2,cc_state_range_rank_v2,cc_state_range_rank_percentile_v2,state_ranges_50PI_score,state_ranges_synthetic_wis,state_ranges_synthetic_wis_sharpness,state_ranges_synthetic_wis_penalty,state_ranges_synthetic_wis_rank_percentile,state_mean_absolute_error_rank_percentile,state_log_difference_squared_rank_percentile,state_pearson_rank_percentile,state_log_difference_geo_mean_rank_percentile,state_rmse_rank_percentile,state_mape_rank_percentile,state_smape_rank_percentile,state_bre_rank_percentile,state_pred25_rank_percentile
LSHTM,8/16/2021,2 wk ahead inc death,8/28/2021,-5990,-0.411,-33.72%,-50.88%,0%,16,44.44%,51,19.8,4077.33,150.88,47.23%,-49.96%,80.08%,-61.57%,21.57%,21.57%,462.66,42.79%,50.25%,26.50%,15,34.78%,51,72.55%,0.176,2.145,2.795,4.482,7.164,9.028,13,41.18%,17.65%,109822,149.2,31.40%,65.54%,33.00%,10,60.87%,64.50%,5,82.61%,26537,126.45,14.29,112.16,34.78%,30.44%,56.52%,34.78%,26.09%,30.44%,39.13%,43.48%,43.48%,39.13%
Masaryk,8/16/2021,2 wk ahead inc death,8/28/2021,-8648,-0.667,-48.69%,-94.89%,0%,24,14.82%,51,88.58,6270.16,184.86,57.29%,-69.32%,207.28%,-205.52%,17.65%,47.06%,605.37,49.28%,72.81%,0.74%,20,8.70%,51,74.51%,0.196,3.83,6.826,21.8,73.1,75,162,64.71%,45.10%,186726,173.9,8.07%,16.85%,10.30%,18,26.09%,9.29%,18,26.09%,33597,178.63,15.4,163.23,8.70%,17.39%,0.00%,17.39%,13.04%,8.70%,26.09%,17.39%,4.35%,21.74%
MIT-Cassandra,8/16/2021,2 wk ahead inc death,8/28/2021,-8391,-0.639,-47.24%,-89.54%,0%,23,18.52%,48,43.56,5265.27,186.73,54.99%,-50.18%,186.74%,-173.10%,8.33%,39.58%,514.37,48.20%,64.80%,0.00%,22,39.13%,48,66.67%,0.188,2.515,5.375,38.4,349.435,402.5,1263.6,52.08%,37.50%,55862,164.4,3.88%,8.11%,14.40%,17,30.43%,-15.00%,20,17.39%,28886,120.48,25.75,94.73,39.13%,13.04%,34.78%,30.44%,21.74%,17.39%,30.44%,21.74%,17.39%,8.70%
MIT-ISOLAT,8/16/2021,2 wk ahead inc death,8/28/2021,-5758,-0.392,-32.42%,-47.97%,0%,12,59.26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIT-ORC,8/16/2021,2 wk ahead inc death,8/28/2021,-5890,-0.403,-33.16%,-49.61%,0%,13,55.56%,51,47.1,2903.69,122.75,30.67%,-31.03%,75.19%,-59.05%,33.33%,27.45%,385.63,38.61%,48.17%,34.58%,13,73.91%,51,70.59%,0.373,2.182,2.829,4.448,428.266,49,282,37.26%,31.37%,46062,178.6,11.21%,23.40%,35.10%,9,65.22%,15.63%,17,30.43%,20673,83.17,24.68,58.49,73.91%,52.17%,30.44%,52.17%,60.87%,52.17%,43.48%,47.83%,47.83%,60.87%
MOBS,8/16/2021,2 wk ahead inc death,8/28/2021,-6041,-0.416,-34.01%,-51.54%,0%,18,37.04%,50,23.83,3030.44,132.68,37.93%,-47.30%,94.34%,-88.20%,20.00%,24.00%,403.22,38.27%,50.34%,28.66%,14,43.48%,50,58.00%,0.18,1.968,2.292,2.728,9.687,4,24.1,10.00%,8.00%,114694,251.7,37.88%,79.09%,49.50%,6,78.26%,51.68%,9,65.22%,23065,119.96,12.03,107.92,43.48%,39.13%,47.83%,43.48%,47.83%,34.78%,47.83%,39.13%,39.13%,30.44%
PSI,8/16/2021,2 wk ahead inc death,8/28/2021,-12928,-1.301,-72.79%,-267.44%,0%,28,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QJHong,8/16/2021,2 wk ahead inc death,8/28/2021,-3357,-0.209,-18.90%,-23.30%,75%,4,88.89%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA,8/16/2021,2 wk ahead inc death,8/28/2021,-7482,-0.547,-42.12%,-72.78%,0%,21,25.93%,51,64.33,8053.42,184.06,70.46%,-76.46%,227.36%,-198.81%,5.88%,64.71%,353.15,64.22%,80.66%,0.00%,22,21.74%,51,74.51%,0.51,4.967,6.19,9.138,28.263,18.714,38,70.59%,43.14%,138213,300.6,15.44%,32.23%,4.10%,21,13.04%,32.51%,12,52.17%,35722,163.38,39.89,123.49,21.74%,21.74%,8.70%,4.35%,0.00%,56.52%,4.35%,0.00%,0.00%,0.00%
UCM,8/16/2021,2 wk ahead inc death,8/28/2021,-8268,-0.626,-46.55%,-87.09%,0%,22,22.22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCSD-NEU,8/16/2021,2 wk ahead inc death,8/28/2021,-5928,-0.406,-33.38%,-50.09%,0%,14,51.85%,50,15.79,2955.5,130.82,32.94%,-39.31%,68.01%,-60.92%,20.00%,22.00%,402.87,34.99%,44.24%,37.85%,11,30.44%,50,96.00%,0.8,6.845,703.5,792,729.735,969,1165,92.00%,84.00%,134699,333.9,0.56%,1.17%,4.10%,21,13.04%,-2.67%,20,17.39%,24930,132.2,31.79,100.42,30.43%,43.48%,65.22%,47.83%,52.17%,39.13%,56.52%,56.52%,56.52%,30.44%
UGA-CEID,8/16/2021,2 wk ahead inc death,8/28/2021,-8738,-0.677,-49.20%,-96.83%,0%,25,11.11%,51,79.5,6368.58,198.63,69.25%,-69.32%,160.28%,-158.17%,7.84%,49.02%,562.54,52.97%,78.75%,0.00%,22,0.00%,51,41.18%,0.098,1.922,2.789,3.703,56.451,42.5,118,33.33%,27.45%,279208,423.6,16.11%,33.63%,8.30%,20,17.39%,0.00%,20,17.39%,37708,227.58,9.82,217.76,0.00%,0.00%,4.35%,13.04%,4.35%,13.04%,8.70%,4.35%,26.09%,4.35%
UM,8/16/2021,2 wk ahead inc death,8/28/2021,-4447,-0.288,-25.04%,-33.40%,0%,8,74.07%,48,50.06,1928.72,102.25,24.50%,-12.14%,61.05%,-40.52%,35.42%,14.58%,298.92,33.62%,41.33%,34.65%,12,65.22%,48,91.67%,0.375,1.892,3.104,13.266,113.594,92.5,352,58.33%,47.92%,73680,102.8,8.92%,18.63%,33.00%,10,60.87%,15.27%,19,21.74%,17172,87.85,17.52,70.33,65.22%,78.26%,21.74%,82.61%,78.26%,69.57%,65.22%,60.87%,65.22%,65.22%
USC,8/16/2021,2 wk ahead inc death,8/28/2021,1328,0.072,7.48%,7.48%,90%,2,96.30%,51,11.41,1968.24,74.9,19.35%,6.45%,48.79%,1.82%,54.90%,9.80%,164.27,33.68%,28.99%,76.29%,3,91.30%,51,62.75%,0.314,1.191,1.27,1.582,6.27,2.321,5.833,9.80%,1.96%,48513,276.5,59.43%,100.00%,55.70%,3,91.30%,66.05%,4,86.96%,12846,59.6,15.38,44.22,91.30%,100.00%,73.91%,78.26%,86.96%,100.00%,60.87%,86.96%,78.26%,91.30%
AIpert,8/16/2021,3 wk ahead inc death,9/4/2021,-4809,-0.183,-16.73%,-20.09%,75%,6,81.48%,51,55.97,4961.55,183.55,50.70%,-48.25%,203.28%,-169.93%,17.65%,33.33%,349.8,53.26%,66.35%,17.72%,16,56.52%,51,76.47%,0.49,7.685,30,95.091,2282.047,1070,5226,76.47%,68.63%,123175,447.3,1.09%,2.28%,0.00%,23,4.35%,0.00%,19,21.74%,43008,173.23,95.98,77.25,56.52%,69.57%,30.44%,39.13%,26.09%,95.65%,26.09%,30.44%,21.74%,26.09%
Baseline,8/16/2021,3 wk ahead inc death,9/4/2021,-16758,-0.875,-58.31%,-139.84%,0%,27,3.70%,51,59.77,10471.14,325.61,75.36%,-87.10%,204.62%,-204.62%,9.80%,66.67%,788.39,55.18%,81.90%,0.09%,20,8.70%,51,33.33%,0.098,3.714,3.897,3.978,3.889,4,4,0.00%,0.00%,298592,519.2,40.95%,85.49%,35.10%,8,69.57%,32.98%,11,56.52%,60363,304.87,19.08,285.79,8.70%,13.04%,17.39%,26.09%,8.70%,21.74%,13.04%,8.70%,17.39%,8.70%
BPagano,8/16/2021,3 wk ahead inc death,9/4/2021,-7066,-0.282,-24.58%,-32.60%,0%,10,66.67%,51,12.91,2797.96,162.33,30.45%,-33.54%,57.86%,-47.28%,37.26%,11.77%,400.69,32.05%,39.15%,56.07%,6,82.61%,51,80.39%,0.373,2.621,6.855,50,45.749,69.357,101,68.63%,47.06%,66053,134.8,8.50%,17.74%,12.40%,16,34.78%,16.96%,16,34.78%,27833,113.18,33.29,79.89,82.61%,73.91%,69.57%,78.26%,65.22%,78.26%,82.61%,69.57%,65.22%,69.57%
Columbia,8/16/2021,3 wk ahead inc death,9/4/2021,-10066,-0.431,-35.02%,-53.90%,0%,17,40.74%,51,21.17,4951.66,198.98,22.61%,-25.72%,49.13%,-43.25%,41.18%,11.77%,694.54,28.74%,36.98%,55.26%,7,39.13%,51,74.51%,0.569,1.973,2.123,2.543,18.224,6.011,96,23.53%,19.61%,217171,133.1,30.03%,62.69%,53.70%,4,86.96%,64.51%,6,78.26%,37130,201.02,18.42,182.6,39.13%,52.17%,52.17%,43.48%,82.61%,30.44%,86.96%,73.91%,78.26%,78.26%
CovidComplete,8/16/2021,3 wk ahead inc death,9/4/2021,-1738,-0.062,-6.05%,-6.44%,90%,2,96.30%,51,6.18,2086.7,119.59,14.58%,-3.67%,32.46%,-10.47%,60.78%,3.92%,369.63,22.26%,23.14%,80.81%,1,100.00%,51,98.04%,0.667,2.646,3.012,3.661,4.781,5.601,6.778,37.26%,7.84%,39546,108.7,37.92%,79.16%,64.00%,2,95.65%,95.66%,1,100.00%,20708,80.1,34.7,45.4,100.00%,100.00%,100.00%,95.65%,100.00%,91.30%,100.00%,100.00%,100.00%,100.00%
DDS,8/16/2021,3 wk ahead inc death,9/4/2021,-4982,-0.19,-17.33%,-20.97%,75%,7,77.78%,51,39.46,17046.74,333.22,44.96%,-57.24%,134.27%,-101.62%,27.45%,47.06%,962.76,53.84%,64.34%,11.56%,18,21.74%,51,76.47%,0.294,5.882,7.723,11.22,56.575,34.273,94.667,76.47%,43.14%,195790,242,9.85%,20.57%,0.00%,23,4.35%,17.40%,14,43.48%,57563,257.86,56.55,201.32,21.74%,8.70%,43.48%,4.35%,34.78%,0.00%,21.74%,34.78%,34.78%,47.83%
Ensemble,8/16/2021,3 wk ahead inc death,9/4/2021,-9530,-0.403,-33.16%,-49.60%,0%,14,51.85%,51,18.02,4186.11,195.55,36.01%,-44.05%,74.12%,-71.42%,21.57%,25.49%,557.38,36.13%,47.19%,40.59%,10,65.22%,51,90.20%,0.373,3.369,4.22,6.724,25.688,13.659,74,68.63%,27.45%,85993,87.3,16.81%,35.09%,22.70%,13,47.83%,52.81%,8,69.57%,32678,137.09,28.85,108.24,65.22%,56.52%,60.87%,65.22%,47.83%,56.52%,56.52%,52.17%,52.17%,39.13%
ESG,8/16/2021,3 wk ahead inc death,9/4/2021,-15788,-0.797,-54.93%,-121.88%,0%,25,11.11%,51,12.23,3639.16,184.12,33.40%,-37.77%,57.21%,-54.56%,27.45%,17.65%,402.6,32.33%,40.60%,49.01%,9,52.17%,51,49.02%,0.216,1.402,1.629,2.471,23.904,9.412,56,25.49%,19.61%,195966,259.8,31.16%,65.06%,24.80%,12,52.17%,39.39%,10,60.87%,33785,182.71,13.46,169.24,52.17%,65.22%,73.91%,73.91%,60.87%,73.91%,73.91%,60.87%,69.57%,47.83%
GT-DeepCOVID,8/16/2021,3 wk ahead inc death,9/4/2021,-10377,-0.448,-36.10%,-56.50%,0%,18,37.04%,46,6.61,1930.04,129,16.53%,-5.42%,37.09%,-15.74%,47.83%,8.70%,421.67,25.57%,27.02%,50.72%,8,91.30%,46,95.65%,0.674,3.761,6.697,13.12,54.729,30.902,123,84.78%,56.52%,48362,91.6,10.64%,22.21%,10.30%,17,30.43%,14.49%,19,21.74%,23743,99.68,46.44,53.24,91.30%,95.65%,91.30%,100.00%,95.65%,65.22%,95.65%,95.65%,91.30%,91.30%
IEM,8/16/2021,3 wk ahead inc death,9/4/2021,-7927,-0.323,-27.58%,-38.08%,0%,11,62.96%,51,51.03,21797.97,280.78,47.39%,6.47%,181.51%,-49.25%,21.57%,45.10%,463.22,88.42%,67.05%,17.58%,17,43.48%,51,78.43%,0.314,4.139,5.983,8.976,337.961,26,222.333,62.75%,29.41%,99847,454.6,10.59%,22.11%,16.50%,14,43.48%,21.89%,13,47.83%,47971,189.5,73.65,115.85,43.48%,30.44%,39.13%,0.00%,30.44%,60.87%,0.00%,26.09%,30.44%,39.13%
JHU-APL,8/16/2021,3 wk ahead inc death,9/4/2021,-4741,-0.18,-16.50%,-19.75%,75%,5,85.19%,51,9.05,4868.42,185.43,25.78%,-11.11%,45.77%,-6.54%,45.10%,5.88%,567.8,35.76%,33.64%,63.72%,3,69.57%,51,94.12%,0.471,3.639,3.873,4.165,4.646,4.443,4.765,15.69%,1.96%,78615,109.2,37.30%,77.86%,82.60%,1,100.00%,94.17%,2,95.65%,30201,127.06,40.53,86.53,69.57%,60.87%,82.61%,47.83%,69.57%,47.83%,60.87%,78.26%,82.61%,86.96%
JHU-CSSE,8/16/2021,3 wk ahead inc death,9/4/2021,-7059,-0.282,-24.56%,-32.56%,0%,9,70.37%,50,6.8,2474.56,153.56,21.38%,-27.71%,38.80%,-30.06%,34.00%,4.00%,420.52,25.73%,29.83%,60.01%,5,86.96%,50,96.00%,0.36,2.76,2.958,3.711,13.467,8.832,41,36.00%,22.00%,41965,67.1,26.63%,55.60%,61.90%,3,91.30%,75.29%,4,86.96%,27842,103.59,24.94,78.65,86.96%,78.26%,86.96%,91.30%,86.96%,69.57%,91.30%,86.96%,86.96%,65.22%
Karlen,8/16/2021,3 wk ahead inc death,9/4/2021,-5,0,-0.02%,-0.02%,100%,1,100.00%,51,6.19,2659.08,142.98,21.23%,19.35%,36.27%,21.78%,49.02%,5.88%,387.78,34.15%,28.36%,69.98%,2,95.65%,51,98.04%,0.686,3.25,3.699,5.217,13.977,8.485,37.333,54.90%,19.61%,45574,122.1,24.52%,51.19%,45.40%,6,78.26%,76.17%,3,91.30%,23500,92.3,50.26,42.04,95.65%,86.96%,95.65%,86.96%,91.30%,86.96%,69.57%,91.30%,95.65%,95.65%
LANL,8/16/2021,3 wk ahead inc death,9/4/2021,-12864,-0.593,-44.76%,-81.02%,0%,21,25.93%,51,63.27,9970.56,286.76,67.64%,-94.91%,215.25%,-212.70%,13.73%,60.78%,913.73,54.08%,80.92%,0.98%,19,4.35%,51,45.10%,0.118,2.886,3.277,4.996,17.354,11.974,54,29.41%,15.69%,399258,496.6,21.45%,44.78%,16.50%,14,43.48%,16.98%,15,39.13%,54407,326.92,20.3,306.62,4.35%,26.09%,13.04%,30.44%,13.04%,8.70%,17.39%,13.04%,13.04%,17.39%
LSHTM,8/16/2021,3 wk ahead inc death,9/4/2021,-9938,-0.424,-34.58%,-52.85%,0%,16,44.44%,51,21.16,6987.5,250.25,43.16%,-49.61%,84.07%,-65.17%,19.61%,29.41%,709.91,44.63%,52.04%,28.60%,15,30.44%,51,80.39%,0.157,2.327,3.131,5.155,8.888,9.792,16.871,49.02%,19.61%,175916,151.8,28.20%,58.88%,33.00%,9,65.22%,67.72%,5,82.61%,44274,207.76,24.41,183.35,30.43%,34.78%,56.52%,34.78%,39.13%,26.09%,39.13%,39.13%,43.48%,30.44%
Masaryk,8/16/2021,3 wk ahead inc death,9/4/2021,-13771,-0.652,-47.91%,-91.99%,0%,22,22.22%,51,107.18,10720.2,310.25,61.11%,-82.35%,284.31%,-283.51%,15.69%,60.78%,922.65,52.06%,78.27%,0.00%,21,13.04%,51,74.51%,0.216,4.146,9.444,34.4,129.092,123,258,66.67%,50.98%,298528,195.1,5.53%,11.55%,8.30%,19,21.74%,0.20%,18,26.09%,56551,294.09,27.05,267.04,13.04%,17.39%,0.00%,21.74%,17.39%,4.35%,30.44%,17.39%,4.35%,21.74%
MIT-Cassandra,8/16/2021,3 wk ahead inc death,9/4/2021,-16241,-0.833,-56.51%,-129.92%,0%,26,7.41%,48,57.67,10875.89,344.79,60.70%,-67.59%,274.48%,-268.57%,12.50%,47.92%,893.79,51.09%,73.60%,0.00%,21,26.09%,48,52.08%,0.167,2.753,5.778,35.375,501.574,595.5,1780.2,41.67%,35.42%,160316,232.2,3.17%,6.62%,10.30%,17,30.43%,-15.00%,19,21.74%,55518,252.38,37.24,215.14,26.09%,0.00%,21.74%,17.39%,21.74%,13.04%,34.78%,21.74%,8.70%,13.04%
MIT-ISOLAT,8/16/2021,3 wk ahead inc death,9/4/2021,-11857,-0.532,-41.25%,-70.22%,0%,19,33.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIT-ORC,8/16/2021,3 wk ahead inc death,9/4/2021,-9462,-0.399,-32.92%,-49.08%,0%,13,55.56%,51,56.42,4762.35,201.73,35.69%,-35.04%,83.34%,-63.87%,31.37%,27.45%,557.8,41.51%,51.37%,30.51%,13,60.87%,51,66.67%,0.333,2.314,2.968,6.154,718.2,82,460,35.29%,29.41%,90874,182.6,8.77%,18.30%,33.00%,9,65.22%,3.43%,17,30.43%,33687,142.25,42.1,100.15,60.87%,47.83%,26.09%,52.17%,56.52%,52.17%,43.48%,43.48%,47.83%,60.87%
MOBS,8/16/2021,3 wk ahead inc death,9/4/2021,-9587,-0.406,-33.36%,-50.05%,0%,15,48.15%,50,23.59,4690.56,210.9,38.05%,-47.74%,92.90%,-88.54%,28.00%,36.00%,583.59,37.92%,50.61%,30.13%,14,47.83%,50,58.00%,0.22,2.061,2.339,2.842,11.786,4.314,21.4,8.00%,8.00%,171910,261.8,35.06%,73.19%,51.60%,5,82.61%,48.86%,9,65.22%,36757,186.55,20.58,165.97,47.83%,39.13%,47.83%,56.52%,43.48%,34.78%,52.17%,47.83%,39.13%,56.52%
PSI,8/16/2021,3 wk ahead inc death,9/4/2021,-21148,-1.331,-73.58%,-278.48%,0%,28,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QJHong,8/16/2021,3 wk ahead inc death,9/4/2021,-4561,-0.173,-15.87%,-18.86%,75%,4,88.89%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA,8/16/2021,3 wk ahead inc death,9/4/2021,-12523,-0.572,-43.57%,-77.21%,0%,20,29.63%,51,79.09,14459.41,309.59,78.46%,-98.86%,289.07%,-263.34%,5.88%,68.63%,577.12,67.20%,89.01%,0.00%,21,17.39%,51,72.55%,0.49,5.314,7.006,10.367,35.428,20.933,52.4,66.67%,45.10%,233609,330,13.74%,28.69%,6.20%,21,13.04%,25.52%,12,52.17%,58388,271.52,62.19,209.34,17.39%,21.74%,8.70%,8.70%,0.00%,43.48%,4.35%,0.00%,0.00%,0.00%
UCM,8/16/2021,3 wk ahead inc death,9/4/2021,-14564,-0.707,-50.67%,-102.72%,0%,23,18.52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCSD-NEU,8/16/2021,3 wk ahead inc death,9/4/2021,-9420,-0.397,-32.77%,-48.75%,0%,12,59.26%,50,16.23,4575.93,208.2,35.72%,-41.73%,69.15%,-63.86%,28.00%,28.00%,582.71,34.97%,45.07%,36.83%,11,34.78%,50,96.00%,0.76,5.278,1101,1213,1089.191,1464,1685.2,90.00%,84.00%,202385,328,0.44%,0.92%,6.20%,21,13.04%,-3.16%,19,21.74%,39560,205.15,50.42,154.73,34.78%,43.48%,65.22%,60.87%,52.17%,39.13%,65.22%,56.52%,56.52%,56.52%
UGA-CEID,8/16/2021,3 wk ahead inc death,9/4/2021,-15287,-0.759,-53.19%,-113.62%,0%,24,14.82%,51,88.99,11174.26,338.02,76.48%,-75.65%,185.70%,-185.70%,7.84%,56.86%,875.48,55.76%,83.79%,0.00%,21,0.00%,51,41.18%,0.098,2.103,3.319,5.167,91.924,69.786,202,33.33%,31.37%,467325,462.3,11.94%,24.93%,8.30%,19,21.74%,0.00%,19,21.74%,64134,384.01,16.74,367.27,0.00%,4.35%,4.35%,13.04%,4.35%,17.39%,8.70%,4.35%,26.09%,4.35%
UM,8/16/2021,3 wk ahead inc death,9/4/2021,-6179,-0.242,-21.50%,-27.39%,75%,8,74.07%,48,55.26,2752.38,152.88,22.91%,-12.95%,60.73%,-42.41%,37.50%,14.58%,397.6,32.26%,40.20%,34.60%,12,73.91%,48,89.58%,0.354,2.109,3.298,18.958,183.861,158.5,568.6,62.50%,47.92%,83796,102.1,6.77%,14.13%,26.80%,11,56.52%,5.55%,19,21.74%,26088,120.87,30.43,90.44,73.91%,82.61%,34.78%,82.61%,78.26%,82.61%,78.26%,65.22%,60.87%,73.91%
USC,8/16/2021,3 wk ahead inc death,9/4/2021,4047,0.132,14.08%,14.08%,75%,3,92.59%,51,11.45,3655.96,133.16,24.35%,20.99%,51.11%,13.69%,43.14%,9.80%,235.11,39.20%,32.20%,63.20%,4,78.26%,51,50.98%,0.235,1.219,1.339,1.672,10.04,2.536,5.8,7.84%,3.92%,95196,306.4,56.51%,100.00%,45.40%,6,78.26%,53.66%,7,73.91%,25436,115.34,27.54,87.8,78.26%,91.30%,78.26%,69.57%,73.91%,100.00%,47.83%,82.61%,73.91%,82.61%
AIpert,8/16/2021,4 wk ahead inc death,9/11/2021,-1920,-0.05,-4.85%,-5.10%,100%,2,96.30%,51,62.75,9393.44,306.71,55.32%,-43.63%,235.64%,-186.93%,15.69%,41.18%,576.45,60.34%,69.74%,18.26%,16,34.78%,51,78.43%,0.451,9.479,40,149.455,4490.27,1799.25,11036,78.43%,70.59%,215403,607.3,0.69%,1.45%,0.00%,23,4.35%,0.00%,18,26.09%,75262,300.87,180.19,120.68,34.78%,39.13%,34.78%,39.13%,30.44%,65.22%,8.70%,30.44%,21.74%,30.44%
Baseline,8/16/2021,4 wk ahead inc death,9/11/2021,-23623,-0.908,-59.65%,-147.84%,0%,26,7.41%,51,65.6,15022.78,458.9,82.33%,-96.46%,224.63%,-224.63%,3.92%,72.55%,1017.64,57.83%,86.71%,0.08%,20,8.70%,51,27.45%,0.039,3.75,3.952,4,3.926,4,4,0.00%,0.00%,439993,575.9,40.63%,84.81%,28.90%,10,60.87%,26.59%,11,56.52%,85529,438.51,25.45,413.06,8.70%,17.39%,26.09%,21.74%,8.70%,26.09%,21.74%,8.70%,26.09%,4.35%
BPagano,8/16/2021,4 wk ahead inc death,9/11/2021,-7553,-0.212,-19.07%,-23.57%,75%,9,70.37%,51,12.21,3158.88,200.55,29.66%,-31.65%,55.70%,-43.20%,31.37%,11.77%,409.93,31.79%,38.06%,58.86%,6,86.96%,51,84.31%,0.392,3.084,9.776,72,69.106,107.32,153,70.59%,54.90%,67929,131.3,6.08%,12.69%,14.40%,14,43.48%,12.51%,14,43.48%,32364,129.78,53.27,76.51,86.96%,86.96%,78.26%,86.96%,65.22%,91.30%,82.61%,69.57%,73.91%,69.57%
Columbia,8/16/2021,4 wk ahead inc death,9/11/2021,-13046,-0.4,-32.94%,-49.13%,0%,16,44.44%,51,21.75,6061.55,259.51,23.19%,-24.09%,46.48%,-41.10%,43.14%,13.73%,837.84,28.15%,35.99%,58.78%,7,52.17%,51,88.24%,0.608,2.247,2.54,3.14,24.05,6.012,132,31.37%,21.57%,231073,105.8,25.92%,54.11%,59.90%,3,91.30%,71.82%,5,82.61%,47148,238.04,30.36,207.68,52.17%,60.87%,47.83%,56.52%,86.96%,34.78%,91.30%,78.26%,86.96%,91.30%
CovidComplete,8/16/2021,4 wk ahead inc death,9/11/2021,-919,-0.023,-2.32%,-2.38%,100%,1,100.00%,51,6.05,2642.18,154.18,17.27%,-5.69%,33.03%,-11.30%,60.78%,5.88%,376.86,23.35%,24.42%,79.99%,1,100.00%,51,96.08%,0.608,2.672,2.987,3.737,4.835,5.365,6.7,37.26%,7.84%,58605,106.2,37.94%,79.21%,61.90%,2,95.65%,95.68%,1,100.00%,25864,104.55,49.83,54.72,100.00%,100.00%,95.65%,91.30%,100.00%,95.65%,100.00%,100.00%,100.00%,100.00%
DDS,8/16/2021,4 wk ahead inc death,9/11/2021,-2158,-0.056,-5.45%,-5.76%,90%,3,92.59%,51,43.97,32194.78,492.65,50.41%,-54.91%,146.70%,-101.32%,25.49%,52.94%,1288.85,60.20%,68.36%,13.61%,17,30.44%,51,80.39%,0.294,7.458,9.496,13.874,80.572,51.905,142,80.39%,56.86%,207443,259.4,7.63%,15.92%,0.00%,23,4.35%,13.93%,13,47.83%,82287,341.52,99.02,242.5,30.43%,8.70%,39.13%,4.35%,34.78%,0.00%,13.04%,34.78%,34.78%,43.48%
